person_id,name,birth_date,death_date,birth_month,birth_day,death_month,death_day,age_at_death_days,age_at_death_years,gender,occupation,birthday_distance,decade
Q1835397,Paku Alam VI,1856-04-09,1902-06-09,4,9,6,9,16861,46.2,male,,61,1900.0
Q24284595,I Gusti Ngurah Made Agung,1876-04-05,1906-09-22,4,5,9,22,11126,30.5,male,,170,1900.0
Q983499,Si Singamangaraja XII,1849-02-18,1907-06-17,2,18,6,17,21302,58.3,male,,119,1900.0
Q3193754,Kassian Cephas,1845-01-15,1912-11-16,1,15,11,16,24776,67.8,male,,-59,1910.0
Q12478592,Charles te Mechelen,1841-10-16,1917-05-30,10,16,5,30,27619,75.6,male,,-139,1910.0
Q12487984,Johan Christoph Gerhard Jonker,1857-06-24,1919-06-26,6,24,6,26,22646,62.0,male,,2,1910.0
Q2584101,Hamengkubuwono VII,1839-02-04,1921-01-29,2,4,1,29,29944,82.0,male,,-6,1920.0
Q6757590,Marco Kartodikromo,1878-12-13,1932-03-18,12,13,3,18,19453,53.3,male,,95,1930.0
Q12493243,Ibrahim bin Fadlil,1874-05-07,1932-10-13,5,7,10,13,21343,58.4,male,,159,1930.0
Q3082995,Frans Louis Wiemans,1889-01-13,1935-02-13,1,13,2,13,16831,46.1,male,,31,1930.0
Q4260187,Abdoel Rivai,1871-08-13,1937-10-16,8,13,10,16,24170,66.2,male,,64,1930.0
Q2249375,Soetomo,1888-07-30,1938-05-30,7,30,5,30,18200,49.8,male,,-61,1930.0
Q1144049,Wage Rudolf Soepratman,1903-03-09,1938-08-17,3,9,8,17,12945,35.4,male,,161,1930.0
Q19740386,Soetan Zakaria,1863-05-23,1940-03-19,5,23,3,19,28059,76.8,male,,-65,1940.0
Q16187638,Muhammad Kasyful Anwar,1887-03-28,1940-11-17,3,28,11,17,19592,53.6,male,,-131,1940.0
Q16184240,Jamaluddin,1887-03-28,1940-11-17,3,28,11,17,19592,53.6,male,,-131,1940.0
Q6892071,Mohammad Husni Thamrin,1894-02-16,1941-01-11,2,16,1,11,17130,46.9,male,,-36,1940.0
Q12498175,Merari Siregar,1896-07-13,1941-04-23,7,13,4,23,16354,44.8,male,,-81,1940.0
Q2513722,Jacob van Helsdingen,1907-03-07,1942-03-07,3,7,3,7,12784,35.0,male,,0,1940.0
Q17411594,Tjoa Tek Swat,1911-09-29,1944-12-12,9,29,12,12,12128,33.2,male,,74,1940.0
Q12486758,Irawan Soejono,1920-01-24,1945-01-13,1,24,1,13,9121,25.0,male,,-11,1940.0
Q19740372,Soekemi Sosrodihardjo,1873-06-15,1945-05-18,6,15,5,18,26269,71.9,male,,-28,1940.0
Q12493242,Hisjam bin Hoesni,1883-11-10,1945-05-20,11,10,5,20,22471,61.5,male,,-174,1940.0
Q19745784,Djojo Dirono,1883-02-04,1945-06-24,2,4,6,24,22785,62.4,male,,140,1940.0
Q12517313,Sultan Amaluddin Al Sani Perkasa Alamsyah,1877-03-08,1945-10-04,3,8,10,4,25046,68.6,male,,-155,1940.0
Q24284574,Abdul Rachman Zakir,1923-12-24,1945-11-17,12,24,11,17,7999,21.9,male,,-37,1940.0
Q15295507,Tan Sin Hok,1902-03-28,1945-12-01,3,28,12,1,15954,43.7,male,,-117,1940.0
Q12507684,Rahadi Oesman,1920-08-01,1945-12-07,8,1,12,7,9259,25.3,male,,128,1940.0
Q7108909,Oto Iskandar di Nata,1897-03-31,1945-12-20,3,31,12,20,17795,48.7,male,,-101,1940.0
Q12479731,Daan Mogot,1928-12-28,1946-01-25,12,28,1,25,6237,17.1,male,,28,1940.0
